iter	Logloss
2474	0.5685132051
2475	0.5685052842
2476	0.5684977649
2477	0.5684949098
2478	0.5684879979
2479	0.5684838097
2480	0.5684775661
2481	0.5684663952
2482	0.5684581806
2483	0.5684492439
2484	0.5684419979
2485	0.5684379582
2486	0.5684309148
2487	0.5684250424
2488	0.5684179011
2489	0.5684137432
2490	0.5684084547
2491	0.5684041754
2492	0.568395404
2493	0.5683878509
2494	0.5683755966
2495	0.5683689109
2496	0.5683625695
2497	0.5683580674
2498	0.568353221
2499	0.5683482093
2500	0.5683424044
2501	0.568334146
2502	0.5683299645
2503	0.5683240652
2504	0.5683179195
2505	0.5683098467
2506	0.5683049227
2507	0.5682988242
2508	0.568293043
2509	0.5682875858
2510	0.5682771708
2511	0.568267306
2512	0.5682611299
2513	0.5682555242
2514	0.5682488452
2515	0.568243442
2516	0.5682328887
2517	0.5682261996
2518	0.568221441
2519	0.5682139014
2520	0.5682091934
2521	0.5682054709
2522	0.5681950155
2523	0.5681884614
2524	0.5681819917
2525	0.5681761767
2526	0.5681696159
2527	0.5681623193
2528	0.5681544457
2529	0.5681467981
2530	0.5681410102
2531	0.5681372472
2532	0.5681288099
2533	0.5681205076
2534	0.5681155532
2535	0.5681075176
2536	0.5680999882
2537	0.5680920808
2538	0.5680819932
2539	0.5680745549
2540	0.5680677443
2541	0.5680615007
2542	0.5680541704
2543	0.5680490068
2544	0.5680436137
2545	0.5680385412
2546	0.56803303
2547	0.5680269754
2548	0.568020985
2549	0.5680148966
2550	0.5680088218
2551	0.5680032532
2552	0.5679997804
2553	0.5679931183
2554	0.5679868545
2555	0.5679806751
2556	0.567973338
2557	0.567968387
2558	0.567960348
2559	0.567954803
2560	0.5679479385
2561	0.5679421134
2562	0.5679376484
2563	0.5679277025
2564	0.5679215366
2565	0.5679125357
2566	0.567906876
2567	0.5679008146
2568	0.5678929747
2569	0.5678871327
2570	0.5678814055
2571	0.5678746591
2572	0.5678683109
2573	0.5678593978
2574	0.5678537819
2575	0.5678479197
2576	0.5678439711
2577	0.5678356485
2578	0.5678301846
2579	0.5678269716
2580	0.5678196177
2581	0.5678149873
2582	0.5678081228
2583	0.5677991557
2584	0.5677934959
2585	0.5677889162
2586	0.5677833037
2587	0.5677765539
2588	0.5677708199
2589	0.5677635301
2590	0.5677576983
2591	0.5677491564
2592	0.5677416202
2593	0.5677342191
2594	0.5677266626
2595	0.5677206519
2596	0.5677144083
2597	0.5677089916
2598	0.5677016917
2599	0.5676959408
2600	0.567691999
2601	0.5676851513
2602	0.5676817359
2603	0.5676739466
2604	0.5676675073
2605	0.5676610106
2606	0.5676554656
2607	0.5676492794
2608	0.5676446794
2609	0.5676411155
2610	0.5676336232
2611	0.5676301369
2612	0.5676242376
2613	0.5676131679
2614	0.5676060063
2615	0.5675973294
2616	0.5675910723
2617	0.5675843833
2618	0.5675774613
2619	0.56757113
2620	0.5675646468
2621	0.5675587205
2622	0.5675515252
2623	0.5675461523
2624	0.5675404521
2625	0.5675336517
2626	0.5675282383
2627	0.5675248094
2628	0.5675137903
2629	0.5675066963
2630	0.5674973748
2631	0.5674905372
2632	0.5674845636
2633	0.5674735682
2634	0.5674686273
2635	0.5674616919
2636	0.5674532782
2637	0.5674468659
2638	0.5674406561
2639	0.5674343315
2640	0.5674308317
2641	0.5674248818
2642	0.5674188474
2643	0.5674128907
2644	0.5674049934
